id,brightness,url,,
bbc-rd-reports-1955-04,244.4999321,"<a href=""http://www.archive.org/details/bbc-rd-reports-1955-04"">link</a>",,
jstor-40670048,244.4885622,"<a href=""http://www.archive.org/details/jstor-40670048"">link</a>",,
nasa_techdoc_19730023015,244.4850299,"<a href=""http://www.archive.org/details/nasa_techdoc_19730023015"">link</a>",,
arxiv-1107.3175,244.4179881,"<a href=""http://www.archive.org/details/arxiv-1107.3175"">link</a>",,
arxiv-astro-ph9702210,244.4157796,"<a href=""http://www.archive.org/details/arxiv-astro-ph9702210"">link</a>",,
nasa_techdoc_19810018958,244.4080924,"<a href=""http://www.archive.org/details/nasa_techdoc_19810018958"">link</a>",,
nasa_techdoc_19810017365,244.3879623,"<a href=""http://www.archive.org/details/nasa_techdoc_19810017365"">link</a>",,
nasa_techdoc_20050009891,244.3674929,"<a href=""http://www.archive.org/details/nasa_techdoc_20050009891"">link</a>",,
arxiv-astro-ph0406650,244.364774,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406650"">link</a>",,
nasa_techdoc_20000025209,244.3029747,"<a href=""http://www.archive.org/details/nasa_techdoc_20000025209"">link</a>",,
nasa_techdoc_20010110101,244.2995219,"<a href=""http://www.archive.org/details/nasa_techdoc_20010110101"">link</a>",,
nasa_techdoc_19750005697,244.2646749,"<a href=""http://www.archive.org/details/nasa_techdoc_19750005697"">link</a>",,
nasa_techdoc_19670014648,244.2622842,"<a href=""http://www.archive.org/details/nasa_techdoc_19670014648"">link</a>",,
nasa_techdoc_19720019130,244.2457539,"<a href=""http://www.archive.org/details/nasa_techdoc_19720019130"">link</a>",,
nasa_techdoc_19860002715,244.2419575,"<a href=""http://www.archive.org/details/nasa_techdoc_19860002715"">link</a>",,
nasa_techdoc_19720025186,244.1970622,"<a href=""http://www.archive.org/details/nasa_techdoc_19720025186"">link</a>",,
nasa_techdoc_19750004876,244.1229538,"<a href=""http://www.archive.org/details/nasa_techdoc_19750004876"">link</a>",,
nasa_techdoc_20020010583,244.1118936,"<a href=""http://www.archive.org/details/nasa_techdoc_20020010583"">link</a>",,
nasa_techdoc_19740013932,244.0731612,"<a href=""http://www.archive.org/details/nasa_techdoc_19740013932"">link</a>",,
nasa_techdoc_19910021882,244.0703928,"<a href=""http://www.archive.org/details/nasa_techdoc_19910021882"">link</a>",,
